TeamName,CompName,Season,Goals,Goals_Against,Position,Best_Teams
Chelsea FC,Premier League,2017-2018,62,38,5°,1
Everton FC,Premier League,2017-2018,44,58,8°,1
Huddersfield Town AFC,Premier League,2017-2018,28,58,16°,0
Swansea City AFC,Premier League,2017-2018,28,56,18°,0
Swansea City AFC,Premier League,2016-2017,45,70,15°,0
Everton FC,Premier League,2016-2017,62,44,7°,1
Chelsea FC,Premier League,2016-2017,85,33,1°,1
Manchester City FC,Premier League,2016-2017,80,39,3°,1
Sunderland AFC,Premier League,2016-2017,29,69,20°,0
Hull City AFC,Premier League,2016-2017,37,80,18°,0
Burnley FC,Premier League,2016-2017,39,55,16°,0
Leicester City FC,Premier League,2016-2017,48,63,12°,0
West Ham United FC,Premier League,2016-2017,47,64,11°,0
Liverpool FC,Premier League,2016-2017,78,42,4°,1
Middlesbrough FC,Premier League,2016-2017,27,53,19°,0
West Bromwich Albion FC,Premier League,2016-2017,43,51,10°,1
AFC Bournemouth,Premier League,2016-2017,55,67,9°,1
Crystal Palace FC,Premier League,2016-2017,50,63,14°,0
Tottenham Hotspur FC,Premier League,2016-2017,86,26,2°,1
Southampton FC,Premier League,2016-2017,41,48,8°,1
Watford FC,Premier League,2016-2017,40,68,17°,0
Manchester United FC,Premier League,2016-2017,54,29,6°,1
Stoke City FC,Premier League,2016-2017,41,56,13°,0
Arsenal FC,Premier League,2016-2017,77,44,5°,1
OGC Nice,Ligue 1,2018-2019,30,35,7°,1
FC Girondins de Bordeaux,Ligue 1,2018-2019,34,42,14°,0
Montpellier HSC,Ligue 1,2018-2019,53,42,6°,1
Amiens SC,Ligue 1,2018-2019,31,52,15°,0
Toulouse FC,Ligue 1,2018-2019,35,57,16°,0
Olympique de Marseille,Ligue 1,2018-2019,60,52,5°,1
Nîmes Olympique,Ligue 1,2018-2019,57,58,9°,1
Angers SCO,Ligue 1,2018-2019,44,49,13°,0
Stade Malherbe Caen,Ligue 1,2018-2019,29,54,19°,0
Stade de Reims,Ligue 1,2018-2019,39,42,8°,1
Dijon FCO,Ligue 1,2018-2019,31,60,18°,0
Stade Rennais FC,Ligue 1,2018-2019,55,52,10°,1
AS Saint-Étienne,Ligue 1,2018-2019,59,41,4°,1
RC Strasbourg Alsace,Ligue 1,2018-2019,58,48,11°,0
Lille OSC,Ligue 1,2018-2019,68,33,2°,1
En Avant de Guingamp,Ligue 1,2018-2019,28,68,20°,0
Olympique Lyonnais,Ligue 1,2018-2019,70,47,3°,1
FC Nantes,Ligue 1,2018-2019,48,48,12°,0
AS Monaco FC,Ligue 1,2018-2019,38,57,17°,0
Paris Saint-Germain FC,Ligue 1,2018-2019,105,35,1°,1
Paris Saint-Germain FC,Ligue 1,2017-2018,108,29,1°,1
AS Monaco FC,Ligue 1,2017-2018,85,45,2°,1
FC Metz,Ligue 1,2017-2018,34,76,20°,0
FC Nantes,Ligue 1,2017-2018,36,41,9°,1
Olympique Lyonnais,Ligue 1,2017-2018,87,43,3°,1
En Avant de Guingamp,Ligue 1,2017-2018,48,59,12°,0
Lille OSC,Ligue 1,2017-2018,41,67,17°,0
RC Strasbourg Alsace,Ligue 1,2017-2018,44,67,15°,0
AS Saint-Étienne,Ligue 1,2017-2018,47,50,7°,1
Stade Rennais FC,Ligue 1,2017-2018,50,44,5°,1
Dijon FCO,Ligue 1,2017-2018,55,73,11°,0
Stade Malherbe Caen,Ligue 1,2017-2018,27,52,16°,0
Angers SCO,Ligue 1,2017-2018,42,52,14°,0
Troyes AC,Ligue 1,2017-2018,32,59,19°,0
Olympique de Marseille,Ligue 1,2017-2018,80,47,4°,1
Toulouse FC,Ligue 1,2017-2018,38,54,18°,0
Amiens SC,Ligue 1,2017-2018,37,42,13°,0
Montpellier HSC,Ligue 1,2017-2018,36,33,10°,1
FC Girondins de Bordeaux,Ligue 1,2017-2018,53,48,6°,1
OGC Nice,Ligue 1,2017-2018,53,52,8°,1
OGC Nice,Ligue 1,2016-2017,63,36,3°,1
FC Girondins de Bordeaux,Ligue 1,2016-2017,53,43,6°,1
Montpellier HSC,Ligue 1,2016-2017,48,66,15°,0
Toulouse FC,Ligue 1,2016-2017,37,41,13°,0
Olympique de Marseille,Ligue 1,2016-2017,57,41,5°,1
Angers SCO,Ligue 1,2016-2017,40,49,12°,0
SC Bastia,Ligue 1,2016-2017,29,54,20°,0
Stade Malherbe Caen,Ligue 1,2016-2017,36,65,17°,0
Dijon FCO,Ligue 1,2016-2017,46,58,16°,0
Stade Rennais FC,Ligue 1,2016-2017,36,42,9°,1
AS Saint-Étienne,Ligue 1,2016-2017,41,42,8°,1
FC Lorient,Ligue 1,2016-2017,44,70,18°,0
Lille OSC,Ligue 1,2016-2017,40,47,11°,0
En Avant de Guingamp,Ligue 1,2016-2017,46,53,10°,1
Olympique Lyonnais,Ligue 1,2016-2017,77,48,4°,1
FC Nantes,Ligue 1,2016-2017,40,54,7°,1
FC Metz,Ligue 1,2016-2017,39,72,14°,0
AS Monaco FC,Ligue 1,2016-2017,107,31,1°,1
Paris Saint-Germain FC,Ligue 1,2016-2017,83,27,2°,1
AS Nancy,Ligue 1,2016-2017,29,52,19°,0
Real Sociedad,La Liga,2018-2019,45,46,9°,1
Valencia CF,La Liga,2018-2019,51,35,4°,1
Celta de Vigo,La Liga,2018-2019,53,62,17°,0
Real Betis,La Liga,2018-2019,44,52,10°,1
Atlético Madrid,La Liga,2018-2019,55,29,2°,1
SD Huesca,La Liga,2018-2019,43,65,19°,0
Sevilla FC,La Liga,2018-2019,62,47,6°,1
RCD Espanyol,La Liga,2018-2019,48,50,7°,1
SD Eibar,La Liga,2018-2019,46,50,12°,0
Rayo Vallecano,La Liga,2018-2019,41,70,20°,0
Levante UD,La Liga,2018-2019,59,66,15°,0
CD Leganés,La Liga,2018-2019,37,43,13°,0
Deportivo Alavés,La Liga,2018-2019,39,50,11°,0
Girona FC,La Liga,2018-2019,37,53,18°,0
Getafe CF,La Liga,2018-2019,48,35,5°,1
Real Madrid CF,La Liga,2018-2019,63,46,3°,1
Villarreal CF,La Liga,2018-2019,49,52,14°,0
Athletic Club,La Liga,2018-2019,41,45,8°,1
Real Valladolid,La Liga,2018-2019,32,51,16°,0
FC Barcelona,La Liga,2018-2019,90,36,1°,1
FC Barcelona,La Liga,2017-2018,99,29,1°,1
Málaga CF,La Liga,2017-2018,24,61,20°,0
UD Las Palmas,La Liga,2017-2018,24,74,19°,0
Athletic Club,La Liga,2017-2018,41,49,16°,0
Deportivo de La Coruña,La Liga,2017-2018,38,76,18°,0
Villarreal CF,La Liga,2017-2018,57,50,5°,1
Real Madrid CF,La Liga,2017-2018,94,44,3°,1
Getafe CF,La Liga,2017-2018,42,33,8°,1
Girona FC,La Liga,2017-2018,50,59,10°,1
Deportivo Alavés,La Liga,2017-2018,40,50,14°,0
CD Leganés,La Liga,2017-2018,34,51,17°,0
Levante UD,La Liga,2017-2018,44,58,15°,0
SD Eibar,La Liga,2017-2018,44,50,9°,1
RCD Espanyol,La Liga,2017-2018,36,42,11°,0
Sevilla FC,La Liga,2017-2018,49,58,7°,1
Atlético Madrid,La Liga,2017-2018,58,22,2°,1
Real Betis,La Liga,2017-2018,60,61,6°,1
Celta de Vigo,La Liga,2017-2018,59,60,13°,0
Valencia CF,La Liga,2017-2018,65,38,4°,1
Real Sociedad,La Liga,2017-2018,66,59,12°,0
Real Sociedad,La Liga,2016-2017,59,53,6°,1
Valencia CF,La Liga,2016-2017,56,65,12°,0
Celta de Vigo,La Liga,2016-2017,53,69,13°,0
Real Betis,La Liga,2016-2017,41,64,15°,0
Atlético Madrid,La Liga,2016-2017,70,27,3°,1
Sevilla FC,La Liga,2016-2017,69,49,4°,1
RCD Espanyol,La Liga,2016-2017,49,50,8°,1
SD Eibar,La Liga,2016-2017,56,51,10°,1
Sporting de Gijón,La Liga,2016-2017,42,72,18°,0
Granada CF,La Liga,2016-2017,30,82,20°,0
CD Leganés,La Liga,2016-2017,36,55,17°,0
Deportivo Alavés,La Liga,2016-2017,41,43,9°,1
Real Madrid CF,La Liga,2016-2017,106,41,1°,1
Villarreal CF,La Liga,2016-2017,56,33,5°,1
Deportivo de La Coruña,La Liga,2016-2017,43,61,16°,0
Athletic Club,La Liga,2016-2017,53,43,7°,1
UD Las Palmas,La Liga,2016-2017,53,74,14°,0
CA Osasuna,La Liga,2016-2017,40,94,19°,0
Málaga CF,La Liga,2016-2017,49,55,11°,0
FC Barcelona,La Liga,2016-2017,116,37,2°,1
FC Augsburg,Fußball-Bundesliga,2018-2019,51,71,15°,0
TSG 1899 Hoffenheim,Fußball-Bundesliga,2018-2019,70,52,9°,1
FC Bayern Munich,Fußball-Bundesliga,2018-2019,88,32,1°,1
Hertha BSC,Fußball-Bundesliga,2018-2019,49,57,11°,0
Borussia Mönchengladbach,Fußball-Bundesliga,2018-2019,55,42,5°,1
VfL Wolfsburg,Fußball-Bundesliga,2018-2019,62,50,6°,1
VfB Stuttgart,Fußball-Bundesliga,2018-2019,32,70,16°,0
Hannover 96,Fußball-Bundesliga,2018-2019,31,71,17°,0
1. FC Nürnberg,Fußball-Bundesliga,2018-2019,26,68,18°,0
SV Werder Bremen,Fußball-Bundesliga,2018-2019,58,49,8°,1
1. FSV Mainz 05,Fußball-Bundesliga,2018-2019,46,57,12°,0
Fortuna Düsseldorf,Fußball-Bundesliga,2018-2019,49,65,10°,0
FC Schalke 04,Fußball-Bundesliga,2018-2019,37,55,14°,0
RB Leipzig,Fußball-Bundesliga,2018-2019,63,29,3°,1
SC Freiburg,Fußball-Bundesliga,2018-2019,46,61,13°,0
Borussia Dortmund,Fußball-Bundesliga,2018-2019,81,44,2°,1
Bayer 04 Leverkusen,Fußball-Bundesliga,2018-2019,69,52,4°,1
Eintracht Frankfurt,Fußball-Bundesliga,2018-2019,60,48,7°,1
Eintracht Frankfurt,Fußball-Bundesliga,2017-2018,45,45,8°,1
Bayer 04 Leverkusen,Fußball-Bundesliga,2017-2018,58,44,5°,1
Borussia Dortmund,Fußball-Bundesliga,2017-2018,64,47,4°,1
SC Freiburg,Fußball-Bundesliga,2017-2018,32,56,15°,0
RB Leipzig,Fußball-Bundesliga,2017-2018,57,53,6°,1
FC Schalke 04,Fußball-Bundesliga,2017-2018,53,37,2°,1
1. FC Köln,Fußball-Bundesliga,2017-2018,35,70,18°,0
1. FSV Mainz 05,Fußball-Bundesliga,2017-2018,38,52,14°,0
SV Werder Bremen,Fußball-Bundesliga,2017-2018,37,40,11°,0
Hannover 96,Fußball-Bundesliga,2017-2018,44,54,13°,0
VfB Stuttgart,Fußball-Bundesliga,2017-2018,36,36,7°,1
VfL Wolfsburg,Fußball-Bundesliga,2017-2018,36,48,16°,0
Borussia Mönchengladbach,Fußball-Bundesliga,2017-2018,47,52,9°,1
Hertha BSC,Fußball-Bundesliga,2017-2018,43,46,10°,0
Hamburger SV,Fußball-Bundesliga,2017-2018,29,53,17°,0
FC Bayern Munich,Fußball-Bundesliga,2017-2018,92,28,1°,1
TSG 1899 Hoffenheim,Fußball-Bundesliga,2017-2018,66,48,3°,1
FC Augsburg,Fußball-Bundesliga,2017-2018,43,46,12°,0
FC Augsburg,Fußball-Bundesliga,2016-2017,35,51,13°,0
FC Ingolstadt 04,Fußball-Bundesliga,2016-2017,36,57,17°,0
TSG 1899 Hoffenheim,Fußball-Bundesliga,2016-2017,64,37,4°,1
FC Bayern Munich,Fußball-Bundesliga,2016-2017,89,22,1°,1
Hamburger SV,Fußball-Bundesliga,2016-2017,33,61,14°,0
Hertha BSC,Fußball-Bundesliga,2016-2017,43,47,6°,1
Borussia Mönchengladbach,Fußball-Bundesliga,2016-2017,45,49,9°,1
VfL Wolfsburg,Fußball-Bundesliga,2016-2017,34,52,16°,0
SV Werder Bremen,Fußball-Bundesliga,2016-2017,61,64,8°,1
SV Darmstadt 98,Fußball-Bundesliga,2016-2017,28,63,18°,0
1. FSV Mainz 05,Fußball-Bundesliga,2016-2017,44,55,15°,0
1. FC Köln,Fußball-Bundesliga,2016-2017,51,42,5°,1
FC Schalke 04,Fußball-Bundesliga,2016-2017,45,40,10°,0
RB Leipzig,Fußball-Bundesliga,2016-2017,66,39,2°,1
SC Freiburg,Fußball-Bundesliga,2016-2017,42,60,7°,1
Borussia Dortmund,Fußball-Bundesliga,2016-2017,72,40,3°,1
Bayer 04 Leverkusen,Fußball-Bundesliga,2016-2017,53,55,12°,0
Eintracht Frankfurt,Fußball-Bundesliga,2016-2017,36,43,11°,0
