nombre,Cedula,codigoRuta,nombreRuta,codigoRamal,nombreRamal,mes,anho,carreras,Origen
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0537,SAN JOSE-GUATUSO,11,2024,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0537,SAN JOSE-GUATUSO,12,2024,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,1,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,2,2025,28.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,3,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,4,2025,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,5,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,6,2025,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,7,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,8,2024,124.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,8,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,9,2024,120.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,9,2025,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,10,2024,94.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,11,2024,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0545,SAN JOSE-PITAL,12,2024,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,1,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,2,2025,28.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,3,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,4,2025,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,5,2025,31.0,SIR
